,raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover.1,cloud_base_ft_agl.1,sky_cover.2,cloud_base_ft_agl.2,sky_cover.3,cloud_base_ft_agl.3,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
17,LSZS 091250Z 22012KT 9999 FEW032 BKN050 10/04 Q1008 RMK O TL180,LSZS,2024-10-09T12:50:00Z,46.526,9.879,10.0,4.0,220,12.0,,6+,29.76,,,,,,,,,,,FEW,3200.0,BKN,5000.0,,,,,VFR,,,,,,,,,,,,METAR,1708.0
18,LSZR 091250Z 28007KT 250V310 CAVOK 16/13 Q0996 RMK M,LSZR,2024-10-09T12:50:00Z,47.485,9.561,16.0,13.0,280,7.0,,6+,29.41,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,396.0
19,LSZL 091250Z 00000KT 9999 FEW030 SCT060 16/12 Q1006 RMK BLU+,LSZL,2024-10-09T12:50:00Z,46.164,8.878,16.0,12.0,0,0.0,,6+,29.7,,,,,,,,,,,FEW,3000.0,SCT,6000.0,,,,,VFR,,,,,,,,,,,,METAR,198.0
20,LSZH 091250Z 30004KT 270V340 CAVOK 15/12 Q0997 NOSIG,LSZH,2024-10-09T12:50:00Z,47.48,8.536,15.0,12.0,300,4.0,,6+,29.44,,,,,,True,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,424.0
21,LSZG 091250Z 24003KT 200V300 9999 FEW029 15/11 Q0997,LSZG,2024-10-09T12:50:00Z,47.179,7.415,15.0,11.0,240,3.0,,6+,29.44,,,,,,,,,,,FEW,2900.0,,,,,,,VFR,,,,,,,,,,,,METAR,428.0
22,LSZC 091250Z VRB02KT CAVOK 18/11 Q0997,LSZC,2024-10-09T12:50:00Z,46.972,8.392,18.0,11.0,VRB,2.0,,6+,29.44,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,445.0
23,LSZB 091250Z VRB03KT 9999 BKN080 16/11 Q0997,LSZB,2024-10-09T12:50:00Z,46.914,7.497,16.0,11.0,VRB,3.0,,6+,29.44,,,,,,,,,,,BKN,8000.0,,,,,,,VFR,,,,,,,,,,,,METAR,510.0
24,LSZA 091250Z 19004KT 9999 BKN050 17/13 Q1006,LSZA,2024-10-09T12:50:00Z,46.004,8.91,17.0,13.0,190,4.0,,6+,29.7,,,,,,,,,,,BKN,5000.0,,,,,,,VFR,,,,,,,,,,,,METAR,276.0
25,LSGS 091250Z VRB01KT 9999 BKN100 16/11 Q1002,LSGS,2024-10-09T12:50:00Z,46.219,7.33,16.0,11.0,VRB,1.0,,6+,29.59,,,,,,,,,,,BKN,10000.0,,,,,,,VFR,,,,,,,,,,,,METAR,482.0
26,LSGG 091250Z AUTO 26007KT 9999 BKN095 19/11 Q0996 NOSIG,LSGG,2024-10-09T12:50:00Z,46.248,6.128,19.0,11.0,260,7.0,,6+,29.41,,,True,,,True,,,,,BKN,9500.0,,,,,,,VFR,,,,,,,,,,,,METAR,411.0
27,LSGC 091250Z AUTO 20012G24KT 150V230 CAVOK 18/07 Q0996,LSGC,2024-10-09T12:50:00Z,47.083,6.792,18.0,7.0,200,12.0,24.0,6+,29.41,,,True,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,1018.0
28,LLHA 091250Z 33010KT 9999 FEW020 SCT030 27/22 Q1013,LLHA,2024-10-09T12:50:00Z,32.809,35.043,27.0,22.0,330,10.0,,6+,29.91,,,,,,,,,,,FEW,2000.0,SCT,3000.0,,,,,VFR,,,,,,,,,,,,METAR,3.0
29,LLER 091250Z 02016KT CAVOK 34/11 Q1011,LLER,2024-10-09T12:50:00Z,29.722,35.012,34.0,11.0,20,16.0,,6+,29.85,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,88.0
30,LLBG 091250Z 31011KT 9999 FEW025 28/20 Q1013 NOSIG,LLBG,2024-10-09T12:50:00Z,32.011,34.887,28.0,20.0,310,11.0,,6+,29.91,,,,,,True,,,,,FEW,2500.0,,,,,,,VFR,,,,,,,,,,,,METAR,35.0
31,LATI 091250Z 09003KT 030V130 9999 FEW044 SCT080 23/18 Q1013 NOSIG,LATI,2024-10-09T12:50:00Z,41.419,19.716,23.0,18.0,90,3.0,,6+,29.91,,,,,,True,,,,,FEW,4400.0,SCT,8000.0,,,,,VFR,,,,,,,,,,,,METAR,32.0
32,KVUO 091250Z AUTO 28004KT 10SM SCT018 BKN023 OVC085 16/14 A3003 RMK AO2,KVUO,2024-10-09T12:50:00Z,45.621,-122.654,16.0,14.0,280,4.0,,10+,30.03,,,True,True,,,,,,,SCT,1800.0,BKN,2300.0,OVC,8500.0,,,MVFR,,,,,,,,,,,,SPECI,7.0
33,KVQQ 091250Z 03009G15KT 4SM -RA SCT031 BKN040 24/24 A2988,KVQQ,2024-10-09T12:50:00Z,30.2035,-81.8725,24.0,24.0,30,9.0,15.0,4,29.88,,,,,,,,,,-RA,SCT,3100.0,BKN,4000.0,,,,,MVFR,,,,,,,,,,,,METAR,21.0
34,KUKF 091250Z AUTO 00000KT 10SM CLR 09/08 A3014 RMK AO2,KUKF,2024-10-09T12:50:00Z,36.2188,-81.1002,9.0,8.0,0,0.0,,10+,30.14,,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,383.0
35,KRYY 091250Z 09003KT 10SM CLR 16/15 A3005 RMK AO2 SLPNO T01600150 $,KRYY,2024-10-09T12:50:00Z,34.0146,-84.5964,16.0,15.0,90,3.0,,10+,30.05,,,,True,True,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,306.0
36,KQFX 091250Z AUTO 00000KT 9999 BKN046 15/14 A3000 RMK A02 TSNO,KQFX,2024-10-09T12:50:00Z,-99.99,-99.99,15.0,14.0,0,0.0,,6+,30.0,,,True,True,,,True,,,,BKN,4600.0,,,,,,,VFR,,,,,,,,,,,,METAR,9999.0
37,KQFV 091250Z AUTO 08001KT 9999 BKN210 11/10 A3008 RMK A02 TSNO,KQFV,2024-10-09T12:50:00Z,-99.99,-99.99,11.0,10.0,80,1.0,,6+,30.08,,,True,True,,,True,,,,BKN,21000.0,,,,,,,VFR,,,,,,,,,,,,METAR,9999.0
38,KQFU 091250Z AUTO 00000KT 9999 FEW080 14/12 A3005 RMK A02 TSNO,KQFU,2024-10-09T12:50:00Z,-99.99,-99.99,14.0,12.0,0,0.0,,6+,30.05,,,True,True,,,True,,,,FEW,8000.0,,,,,,,VFR,,,,,,,,,,,,METAR,9999.0
39,KQFT 091250Z AUTO 03003KT 9999 BKN055 BKN240 16/14 A3000 RMK A02 TSNO,KQFT,2024-10-09T12:50:00Z,-99.99,-99.99,16.0,14.0,30,3.0,,6+,30.0,,,True,True,,,True,,,,BKN,5500.0,BKN,24000.0,,,,,VFR,,,,,,,,,,,,METAR,9999.0
40,KQFB 091250Z AUTO 33004KT 9999 FEW034 14/13 A3009 RMK A02 TSNO,KQFB,2024-10-09T12:50:00Z,-99.99,-99.99,14.0,13.0,330,4.0,,6+,30.09,,,True,True,,,True,,,,FEW,3400.0,,,,,,,VFR,,,,,,,,,,,,METAR,9999.0
41,KQEX 091250Z AUTO 36001KT 9999 CLR 17/12 A2997 RMK A02 TSNO,KQEX,2024-10-09T12:50:00Z,-99.99,-99.99,17.0,12.0,360,1.0,,6+,29.97,,,True,True,,,True,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,9999.0
42,KQEW 091250Z AUTO 30001KT 9999 FEW042 SCT055 16/11 A3005 RMK A02 TSNO,KQEW,2024-10-09T12:50:00Z,-99.99,-99.99,16.0,11.0,300,1.0,,6+,30.05,,,True,True,,,True,,,,FEW,4200.0,SCT,5500.0,,,,,VFR,,,,,,,,,,,,METAR,9999.0
43,KQEV 091250Z AUTO 00000KT 9999 BKN220 15/13 A2997 RMK A02 TSNO,KQEV,2024-10-09T12:50:00Z,-99.99,-99.99,15.0,13.0,0,0.0,,6+,29.97,,,True,True,,,True,,,,BKN,22000.0,,,,,,,VFR,,,,,,,,,,,,METAR,9999.0
44,KQEQ 091250Z AUTO 32002KT 9999 SCT080 14/13 A3004 RMK A02 TSNO,KQEQ,2024-10-09T12:50:00Z,-99.99,-99.99,14.0,13.0,320,2.0,,6+,30.04,,,True,True,,,True,,,,SCT,8000.0,,,,,,,VFR,,,,,,,,,,,,METAR,9999.0
45,KQEP 091250Z AUTO 00000KT 9999 FEW047 SCT075 15/14 A3003 RMK A02 TSNO,KQEP,2024-10-09T12:50:00Z,-99.99,-99.99,15.0,14.0,0,0.0,,6+,30.03,,,True,True,,,True,,,,FEW,4700.0,SCT,7500.0,,,,,VFR,,,,,,,,,,,,METAR,9999.0
46,KQEJ 091250Z AUTO 01001KT 9999 SCT220 12/11 A3004 RMK A02 TSNO,KQEJ,2024-10-09T12:50:00Z,-99.99,-99.99,12.0,11.0,10,1.0,,6+,30.04,,,True,True,,,True,,,,SCT,22000.0,,,,,,,VFR,,,,,,,,,,,,METAR,9999.0
47,KQEI 091250Z AUTO 01001KT 9999 FEW055 BKN230 13/12 A3005 RMK A02 TSNO,KQEI,2024-10-09T12:50:00Z,-99.99,-99.99,13.0,12.0,10,1.0,,6+,30.05,,,True,True,,,True,,,,FEW,5500.0,BKN,23000.0,,,,,VFR,,,,,,,,,,,,METAR,9999.0
48,KOMN 091250Z 13012G24KT 1/2SM +RA OVC005 24/24 A2984,KOMN,2024-10-09T12:50:00Z,29.3009,-81.111,24.0,24.0,130,12.0,24.0,0.5,29.84,,,,,,,,,,+RA,OVC,500.0,,,,,,,LIFR,,,,,,,,,,,,METAR,7.0
49,KOLV 091250Z 02005KT 10SM CLR 11/09 A3006,KOLV,2024-10-09T12:50:00Z,34.9808,-89.7851,11.0,9.0,20,5.0,,10+,30.06,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,124.0
50,KNQA 091250Z 05003KT 10SM CLR 13/07 A3006,KNQA,2024-10-09T12:50:00Z,35.3619,-89.8612,13.0,7.0,50,3.0,,10+,30.06,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,90.0
51,KMWK 091250Z AUTO 00000KT 10SM CLR 11/08 A3011 RMK AO2 T01090083,KMWK,2024-10-09T12:50:00Z,36.4568,-80.5548,10.9,8.3,0,0.0,,10+,30.11,,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,374.0
52,KMRN 091250Z AUTO 00000KT 10SM CLR 11/10 A3009 RMK AO2 T01120104,KMRN,2024-10-09T12:50:00Z,35.8192,-81.6097,11.2,10.4,0,0.0,,10+,30.09,,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,375.0
53,KMMU 091250Z 00000KT 10SM BKN080 11/10 A2995,KMMU,2024-10-09T12:50:00Z,40.7989,-74.4164,11.0,10.0,0,0.0,,10+,29.95,,,,,,,,,,,BKN,8000.0,,,,,,,VFR,,,,,,,,,,,,METAR,55.0
54,KLEB 091250Z 18003KT 1SM BR VV001 06/04 A2988 RMK AO2 VIS 1/4V4,KLEB,2024-10-09T12:50:00Z,43.6271,-72.3054,6.0,4.0,180,3.0,,1,29.88,,,,True,,,,,,BR,OVX,0.0,,,,,,,LIFR,,,,,,,,,,,100.0,SPECI,169.0
55,KJQF 091250Z 35003KT 10SM CLR 14/13 A3009,KJQF,2024-10-09T12:50:00Z,35.3896,-80.7074,14.0,13.0,350,3.0,,10+,30.09,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,204.0
56,KIXA 091250Z AUTO 00000KT 10SM CLR 11/11 A3004 RMK AO2,KIXA,2024-10-09T12:50:00Z,36.331,-77.6333,11.0,11.0,0,0.0,,10+,30.04,,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,43.0
57,KHUM 091250Z 34006KT 7SM CLR 17/14 A2991,KHUM,2024-10-09T12:50:00Z,29.5634,-90.6629,17.0,14.0,340,6.0,,7,29.91,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1.0
58,KHRJ 091250Z AUTO 00000KT 10SM CLR 13/12 A3006 RMK AO2 T01330117,KHRJ,2024-10-09T12:50:00Z,35.3794,-78.7356,13.3,11.7,0,0.0,,10+,30.06,,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,55.0
59,KHQZ 091250Z 00000KT 10SM CLR 14/09 A3007,KHQZ,2024-10-09T12:50:00Z,32.7514,-96.5291,14.0,9.0,0,0.0,,10+,30.07,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,136.0
60,KHOB 091250Z 24004KT 10SM CLR 14/05 A3013,KHOB,2024-10-09T12:50:00Z,32.6797,-103.222,14.0,5.0,240,4.0,,10+,30.13,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1112.0
61,KGWW 091250Z AUTO 02004KT 10SM CLR 14/13 A3004 RMK AO2 T01360128,KGWW,2024-10-09T12:50:00Z,35.4637,-77.9604,13.6,12.8,20,4.0,,10+,30.04,,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,40.0
62,KGIF 091250Z AUTO 08011KT 5SM -RA BR SCT009 BKN027 OVC090 24/24 A2978 RMK AO2 P0008,KGIF,2024-10-09T12:50:00Z,28.0614,-81.7568,24.0,24.0,80,11.0,,5,29.78,,,True,True,,,,,,-RA BR,SCT,900.0,BKN,2700.0,OVC,9000.0,,,MVFR,,,,,,0.08,,,,,,SPECI,44.0
63,KGEV 091250Z AUTO 00000KT 10SM CLR 09/05 A3012 RMK AO2 T00870047,KGEV,2024-10-09T12:50:00Z,36.4312,-81.4206,8.7,4.7,0,0.0,,10+,30.12,,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,961.0
64,KFWS 091250Z 00000KT 10SM CLR 14/10 A3007,KFWS,2024-10-09T12:50:00Z,32.558,-97.308,14.0,10.0,0,0.0,,10+,30.07,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,211.0
65,KFIN 091250Z 09005KT 7SM -RA SCT016 SCT060 OVC090 24/23 A2984,KFIN,2024-10-09T12:50:00Z,29.467,-81.207,24.0,23.0,90,5.0,,7,29.84,,,,,,,,,,-RA,SCT,1600.0,SCT,6000.0,OVC,9000.0,,,VFR,,,,,,,,,,,,METAR,10.0
66,KFHM 091250Z 02001G02KT 16/15 ,KFHM,2024-10-09T12:50:00Z,34.0677,-118.242,16.0,15.0,20,1.0,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,126.0
67,KFFA 091250Z AUTO 04005KT 10SM CLR 19/08 A3000 RMK AO2 T01910083,KFFA,2024-10-09T12:50:00Z,36.0165,-75.6739,19.1,8.3,40,5.0,,10+,30.0,,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,2.0
68,KEYF 091250Z AUTO 02003KT 10SM CLR 14/12 A3004 RMK AO2 T01390120,KEYF,2024-10-09T12:50:00Z,34.6042,-78.579,13.9,12.0,20,3.0,,10+,30.04,,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,39.0
69,KESN 091250Z 20004KT 10SM CLR 15/13 A2999,KESN,2024-10-09T12:50:00Z,38.804,-76.069,15.0,13.0,200,4.0,,10+,29.99,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,14.0
70,KEHO 091250Z AUTO 00000KT 7SM CLR 13/12 A3007 RMK AO2 T01250115,KEHO,2024-10-09T12:50:00Z,35.2556,-81.5986,12.5,11.5,0,0.0,,7,30.07,,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,261.0
71,KEDE 091250Z AUTO 00000KT 10SM CLR 15/14 A3003 RMK AO2 T01450144,KEDE,2024-10-09T12:50:00Z,36.0286,-76.5668,14.5,14.4,0,0.0,,10+,30.03,,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,4.0
72,KDAG 091250Z AUTO 27010KT 10SM CLR 21/03 A2993 RMK AO2 SLP109 T02060033,KDAG,2024-10-09T12:50:00Z,34.8537,-116.787,20.6,3.3,270,10.0,,10+,29.93,1010.9,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,584.0
73,KATP 091250Z AUTO 7SM CLR 27/21 A2980 RMK A01,KATP,2024-10-09T12:50:00Z,27.1956,-90.0269,27.0,21.0,,,,7,29.8,,,True,True,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,50.0
74,KAPC 091250Z 27007KT 10SM OVC005 13/12 A2993 RMK AO2,KAPC,2024-10-09T12:50:00Z,38.2075,-122.28,13.0,12.0,270,7.0,,10+,29.93,,,,True,,,,,,,OVC,500.0,,,,,,,IFR,,,,,,,,,,,,SPECI,5.0
75,KALN 091250Z 00000KT 10SM CLR 07/07 A3012,KALN,2024-10-09T12:50:00Z,38.8897,-90.0316,7.0,7.0,0,0.0,,10+,30.12,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,159.0
76,KADM 091250Z 00000KT 10SM CLR 14/11 A3007,KADM,2024-10-09T12:50:00Z,34.3007,-97.0089,14.0,11.0,0,0.0,,10+,30.07,,,,,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,223.0
77,K24A 091250Z AUTO 00000KT M1/4SM FG OVC002 11/11 A3012 RMK AO2 T01070107,K24A,2024-10-09T12:50:00Z,35.3156,-83.2071,10.7,10.7,0,0.0,,0.25,30.12,,,True,True,,,,,,FG,OVC,200.0,,,,,,,LIFR,,,,,,,,,,,,METAR,864.0
78,FHAW 091250Z 13016KT 9999 FEW025 26/20 Q1015 NOSIG RMK BLU BLU,FHAW,2024-10-09T12:50:00Z,-7.97,-14.394,26.0,20.0,130,16.0,,6+,29.97,,,,,,True,,,,,FEW,2500.0,,,,,,,VFR,,,,,,,,,,,,METAR,79.0
79,EYVI 091250Z 16015KT 120V190 CAVOK 18/11 Q1002 NOSIG,EYVI,2024-10-09T12:50:00Z,54.634,25.286,18.0,11.0,160,15.0,,6+,29.59,,,,,,True,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,180.0
80,EYSA 091250Z 15012KT 9999 -RA OVC046 15/12 Q0999 NOSIG,EYSA,2024-10-09T12:50:00Z,55.894,23.395,15.0,12.0,150,12.0,,6+,29.5,,,,,,True,,,,-RA,OVC,4600.0,,,,,,,VFR,,,,,,,,,,,,METAR,135.0
81,EYPA 091250Z 17014KT 7000 -RA OVC013 14/13 Q0996,EYPA,2024-10-09T12:50:00Z,55.973,21.092,14.0,13.0,170,14.0,,4.35,29.41,,,,,,,,,,-RA,OVC,1300.0,,,,,,,MVFR,,,,,,,,,,,,METAR,15.0
82,EYKA 091250Z 15008KT 120V190 CAVOK 19/12 Q1000,EYKA,2024-10-09T12:50:00Z,54.962,24.069,19.0,12.0,150,8.0,,6+,29.53,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,68.0
83,EVVA 091250Z AUTO 15009KT 120V180 9999 OVC011 13/12 Q0994,EVVA,2024-10-09T12:50:00Z,57.361,21.545,13.0,12.0,150,9.0,,6+,29.35,,,True,,,,,,,,OVC,1100.0,,,,,,,MVFR,,,,,,,,,,,,METAR,1.0
84,EVRA 091250Z 14010KT 9999 -RA FEW023 BKN035 OVC048 12/11 Q0999 NOSIG,EVRA,2024-10-09T12:50:00Z,56.924,23.968,12.0,11.0,140,10.0,,6+,29.5,,,,,,True,,,,-RA,FEW,2300.0,BKN,3500.0,OVC,4800.0,,,VFR,,,,,,,,,,,,METAR,7.0
85,EVLA 091250Z AUTO 17009KT 140V200 9999 OVC015/// 15/13 Q0995,EVLA,2024-10-09T12:50:00Z,56.517,21.097,15.0,13.0,170,9.0,,6+,29.38,,,True,,,,,,,,OVC,1500.0,,,,,,,MVFR,,,,,,,,,,,,METAR,5.0
86,EVGA 091250Z 13013KT CAVOK 13/09 Q1000 NOSIG,EVGA,2024-10-09T12:50:00Z,56.778,24.854,13.0,9.0,130,13.0,,6+,29.53,,,,,,True,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,61.0
87,ETNG 091250Z 10007KT 5000 -RA SCT024 OVC029 14/14 Q0988 TEMPO 4000 BKN010,ETNG,2024-10-09T12:50:00Z,50.964,6.032,14.0,14.0,100,7.0,,3.11,29.17,,,,,,,,,,-RA,SCT,2400.0,OVC,2900.0,,,,,MVFR,,,,,,,,,,,,METAR,76.0
88,ENZV 091250Z 17015KT 8000 -RA BKN005 12/11 Q0986 TEMPO 4000 SHRA BKN009 SCT020CB,ENZV,2024-10-09T12:50:00Z,58.884,5.637,12.0,11.0,170,15.0,,4.97,29.11,,,,,,,,,,-RA,BKN,500.0,,,,,,,IFR,,,,,,,,,,,,METAR,7.0
89,ENVA 091250Z 10006KT CAVOK 12/10 Q0988 NOSIG RMK WIND 670FT 12009KT,ENVA,2024-10-09T12:50:00Z,63.46,10.931,12.0,10.0,100,6.0,,6+,29.17,,,,,,True,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,12.0
